location_name,date,avg_pm2_5,avg_co,avg_so2,avg_temp
Alphington,2020-12-31,10.668,0.335,0.888,17.062
Alphington,2021-01-01,7.241521739130435,0.19382608695652173,0.7592173913043478,23.382652173913044
Alphington,2021-01-02,4.204782608695652,0.14539130434782607,0.8006521739130434,22.16408695652174
Alphington,2021-01-03,5.78995652173913,0.14069565217391306,0.15439130434782608,20.206652173913042
Alphington,2021-01-04,1.3428,0.126,0.28934782608695653,17.187652173913044
Alphington,2021-01-05,8.28129411764706,0.14395652173913043,0.5226521739130435,17.72804347826087
Alphington,2021-01-06,2.213608695652174,0.09808695652173913,0.8936521739130435,16.93595652173913
Alphington,2021-01-07,5.34895652173913,0.08052173913043478,1.1606521739130435,20.78213043478261
Alphington,2021-01-08,3.633695652173913,0.13978260869565218,1.2562608695652173,20.458913043478262
Alphington,2021-01-09,7.324565217391304,0.14643478260869566,1.1387391304347827,23.19591304347826
Alphington,2021-01-10,5.520739130434783,0.1688695652173913,0.8159130434782609,26.10986956521739
Alphington,2021-01-11,5.966521739130434,0.13391304347826088,0.2967391304347826,30.077434782608695
Alphington,2021-01-12,7.204521739130435,0.057473684210526316,0.7339473684210526,19.88994736842105
Alphington,2021-01-13,8.483086956521738,0.2408695652173913,0.8196521739130435,22.628347826086955
Alphington,2021-01-14,5.497565217391304,0.1137391304347826,0.7274782608695652,19.303304347826085
Alphington,2021-01-15,3.708913043478261,0.11008695652173912,0.662695652173913,15.696695652173913
Alphington,2021-01-16,3.0321739130434784,0.06165217391304348,1.0354782608695652,16.18586956521739
Alphington,2021-01-17,7.963,0.12304347826086956,1.2747391304347826,17.453652173913042
Alphington,2021-01-18,3.747652173913043,0.17126086956521738,1.3385217391304347,18.250652173913043
Alphington,2021-01-19,8.954956521739131,0.021391304347826087,1.4019565217391305,17.148869565217392
Alphington,2021-01-20,8.586631578947369,0.14005263157894737,2.1963157894736844,18.04863157894737
Alphington,2021-01-21,9.853347826086956,0.2383913043478261,1.0509565217391303,24.093826086956522
Alphington,2021-01-22,8.82691304347826,0.17226086956521738,0.7882173913043479,21.330304347826086
Alphington,2021-01-23,6.2396521739130435,0.2063478260869565,0.27265217391304347,22.44626086956522
Alphington,2021-01-24,6.371695652173913,0.22630434782608697,0.048739130434782604,28.91930434782609
Alphington,2021-01-25,6.948695652173913,0.20252173913043478,0.3561304347826087,27.985782608695654
Alphington,2021-01-26,4.893130434782609,0.13391304347826086,-0.5589130434782609,18.74495652173913
Alphington,2021-01-27,5.246181818181818,0.023363636363636364,0.1688181818181818,19.894909090909092
Alphington,2021-01-28,3.5873478260869565,0.18778260869565216,0.07200000000000001,21.85686956521739
Alphington,2021-01-29,3.2550869565217386,0.29434782608695653,-0.7450434782608695,19.882347826086956
Alphington,2021-01-30,6.479652173913044,0.11739130434782609,-1.300913043478261,19.202478260869565
Alphington,2021-01-31,4.257217391304348,0.06047826086956522,-0.6627826086956522,19.490695652173912
Alphington,2021-02-01,6.616478260869565,0.18908695652173912,-0.2818695652173913,17.691521739130437
Alphington,2021-02-02,4.266130434782609,0.07952173913043478,0.2888695652173914,17.191695652173912
Alphington,2021-02-03,3.157,0.0892608695652174,0.2493181818181818,19.81804347826087
Alphington,2021-02-04,5.2791304347826085,0.17752173913043479,0.011608695652173916,23.653739130434783
Alphington,2021-02-05,6.2964782608695655,0.22369565217391305,-0.5039130434782609,23.55695652173913
Alphington,2021-02-06,1.6972608695652174,0.12660869565217392,-0.8675652173913043,20.712260869565217
Alphington,2021-02-07,2.582043478260869,0.12586956521739132,-0.14756521739130432,17.441608695652175
Alphington,2021-02-08,3.7041739130434785,-0.05105263157894737,-0.2425,17.288260869565217
Alphington,2021-02-09,6.266130434782609,0.18346666666666667,0.23244444444444443,19.660652173913043
Alphington,2021-02-10,5.088608695652174,0.18956521739130436,-0.41691304347826086,23.925565217391306
Alphington,2021-02-11,7.975260869565218,0.14869565217391303,0.01604347826086954,27.031130434782607
Alphington,2021-02-12,8.476,0.06347826086956522,0.6851304347826087,20.596478260869567
Alphington,2021-02-13,3.8813636363636363,0.07204545454545454,0.4696363636363636,18.526727272727275
Alphington,2021-02-14,3.4663913043478263,0.08247826086956522,0.26082608695652176,16.926608695652174
Alphington,2021-02-15,6.904130434782608,0.10539130434782609,-0.0736521739130435,20.24104347826087
Alphington,2021-02-16,6.323347826086956,0.14469565217391303,-0.14982608695652175,24.149826086956523
Alphington,2021-02-17,6.195739130434782,0.196,0.24008695652173914,24.65
Alphington,2021-02-18,7.055826086956522,0.14352173913043478,-0.1321304347826087,26.150173913043478
