"temperature","tn_mg_l","tp_mg_l","n_ox_mg_l","po4_3_mg_l","nh4_mg_l","al_mg_l","as_mg_l","cd_mg_l","co_mg_l","cr_mg_l","cu_mg_l","fe_mg_l","mo_mg_l","mn_mg_l","ni_mg_l","pb_mg_l","sb_mg_l","se_mg_l","u_mg_l","v_mg_l","zn_mg_l"
23,"17.32870380926034","3.116044249692294","7.2021280407911377","0.69017936057936824","133.33063251293026",3.20219050528485,1.77603257071983,7.00137411271625,2.43247044746552,2.33470138665935,3.58130014593044,0.00871386645675903,2.66392892906728,1.52303038121547,4.41727080823884,0.153494693151262,4.25604315407677,7.40278890939417,3.62397540178853,2.19475830630135,3.60910193418136
23,"5.8487700803212848","1.8493253968253969","2.6629536610728621","2.3304050793650792","7.8740570672713517",3.08214511265966,1.77537002187669,4.27850085034014,1.78252544066984,2.19943497749757,1.78238975460123,0.00871386645675903,6.52879844968408,1.60079583123325,4.7370538328828,0.628798258485053,5.48851010041077,6.18991108097387,2.84461397212544,2.49129762172745,2.25409848065136
23,"14.739324960753533","5.546163238470931","7.9198791121576839","0.81950108011646472","18.154607645875256",4.42565260071329,1.81942657209897,5.66032069029162,2.83489289804084,3.1383044758895,3.8443737037037,0.00871386645675903,6.74691591482135,3.03397795873789,3.81714083213083,0.153494693151262,4.74645485548717,3.55486807074616,3.27688065121652,3.11336643326699,2.82884622842539
23,"16.861969872304119","90.705481620968797","1.2424609379592513","1.4381631185626917","118862.09639810167",1.65934684758238,5.13992524839197,10.3538411496604,10.3538411496604,0.517692057483021,1.50102251060724,0.399773311056333,10.3538411496604,1.76100167094634,0.517692057483021,0.153494693151262,10.3538411496604,1.03538411496604,10.3538411496604,5.52204861315223,0.225083503253487
23,"23.707269704700408","104.58167257298393","1.3970355361698454","2.6260818609533412","107106.05777302147",4.02783689988848,5.13992524839197,9.73691434300195,9.73691434300195,0.486845717150098,1.50102251060724,0.00871386645675903,9.73691434300195,3.57447250223361,0.486845717150098,0.153494693151262,9.73691434300195,0.973691434300195,9.73691434300195,4.02459126177414,0.442587015590998
23,"16.560934138512323","57.985322604593136","0.13040105620875844","1.4948899022696329","88861.799753458428",4.88387272454524,5.13992524839197,9.61707789539594,9.61707789539594,4.39179890556414,1.50102251060724,0.00871386645675903,33.3392033707059,3.61884008736235,0.480853894769797,0.153494693151262,9.61707789539594,0.961707789539594,9.61707789539594,4.55208353715408,0.480853894769797
23,"12.961314363143632","3.2315498154981546","6.4932739837398374","0.66747140221402212","328.26500000000004",0.753541880869957,3.25804975545523,9.56658125720516,2.04475789394697,0.609776156990928,3.80054628392778,0.527710383381507,4.9577835487944,3.33976010292772,1.86420348279266,0.57817364807423,9.08339351357425,0.848816406467096,1.15005262284197,2.12472582623809,2.6098055497395
23,"12.688715277777776","1.0493607954545454","5.7492534722222226","3.5042004616477263","0.27876269531249998",1.60943388258338,3.16859817451479,5.66502876019022,1.63170429506568,1.12103830428754,6.86469153102335,0.00871386645675903,9.74424750283992,2.97340759138836,2.98549256314062,0.308696232298734,36.9711417116088,5.06057916694188,2.23090137952716,6.61973172713171,0.201711533628906
23,"9.7272631304490016","1.4760080022216491","3.6697288189209814","1.1828541282504141","478.4627181373267",1.15352494073626,4.30917918052598,2.2149986441956,1.78335523807834,0.57817033918736,7.37277702375818,0.669900147111952,11.4645794305237,2.85028379677031,2.4902226510418,0.153494693151262,17.4368038483898,5.26996584933174,1.36209686740764,3.55610518142612,3.52071029626627
23,"9.9649961407571883","1.5841760695634794","0.35826649434734126","2.6190713705966893","408.51519503309794",1.07859556327409,1.7981305855452,8.99065292772601,2.73206177197524,0.966533682245119,2.6443096846253,0.181313918253224,1.92417614942968,7.24600590497932,1.689968724561,0.0930758032886354,8.99065292772601,3.36027165621577,2.40220898472451,0.662042298331932,1.5434864015668
