"temperature","tn_mg_l","tp_mg_l","n_ox_mg_l","po4_3_mg_l","nh4_mg_l","zn_mg_l","fe_mg_l","pb_mg_l","cd_mg_l","ni_mg_l","cu_mg_l","al_mg_l","as_mg_l","cr_mg_l","co_mg_l","mo_mg_l","mn_mg_l","sb_mg_l","se_mg_l","u_mg_l","v_mg_l","sample_site"
23,17.3287038092603,3.11604424969229,0.314195494016861,0.690179360579368,133.33063251293,3.60910193418136,0.00871386645675903,0.153494693151262,7.00137411271625,4.41727080823884,3.58130014593044,3.20219050528485,1.77603257071983,2.33470138665935,2.43247044746552,2.66392892906728,1.52303038121547,4.25604315407677,7.40278890939417,3.62397540178853,2.19475830630135,1
23,5.84877008032128,1.8493253968254,2.66295366107286,2.33040507936508,7.87405706727135,2.25409848065136,0.00871386645675903,0.628798258485053,4.27850085034014,4.7370538328828,1.78238975460123,3.08214511265966,1.77537002187669,2.19943497749757,1.78252544066984,6.52879844968408,1.60079583123325,5.48851010041077,6.18991108097387,2.84461397212544,2.49129762172745,2
23,14.7393249607535,5.54616323847093,0.314195494016861,0.819501080116465,18.1546076458753,2.82884622842539,0.00871386645675903,0.153494693151262,5.66032069029162,3.81714083213083,3.8443737037037,4.42565260071329,1.81942657209897,3.1383044758895,2.83489289804084,6.74691591482135,3.03397795873789,4.74645485548717,3.55486807074616,3.27688065121652,3.11336643326699,3
23,16.8619698723041,4.83018083213425,1.24246093795925,1.43816311856269,202.368107285744,0.225083503253487,0.399773311056333,0.153494693151262,10.3538411496604,0.517692057483021,1.50102251060724,1.65934684758238,5.13992524839197,0.517692057483021,10.3538411496604,10.3538411496604,1.76100167094634,10.3538411496604,1.03538411496604,10.3538411496604,5.52204861315223,1
23,23.7072697047004,4.83018083213425,1.39703553616985,2.62608186095334,202.368107285744,0.442587015590998,0.00871386645675903,0.153494693151262,9.73691434300195,0.486845717150098,1.50102251060724,4.02783689988848,5.13992524839197,0.486845717150098,9.73691434300195,9.73691434300195,3.57447250223361,9.73691434300195,0.973691434300195,9.73691434300195,4.02459126177414,2
23,16.5609341385123,57.9853226045931,0.130401056208758,1.49488990226963,202.368107285744,0.480853894769797,0.00871386645675903,0.153494693151262,9.61707789539594,0.480853894769797,1.50102251060724,4.88387272454524,5.13992524839197,4.39179890556414,9.61707789539594,33.3392033707059,3.61884008736235,9.61707789539594,0.961707789539594,9.61707789539594,4.55208353715408,3
23,12.9613143631436,3.23154981549815,0.314195494016861,0.667471402214022,328.265,2.6098055497395,0.527710383381507,0.57817364807423,9.56658125720516,1.86420348279266,3.80054628392778,0.753541880869957,3.25804975545523,0.609776156990928,2.04475789394697,4.9577835487944,3.33976010292772,9.08339351357425,0.848816406467096,1.15005262284197,2.12472582623809,1
23,12.6887152777778,1.04936079545455,0.314195494016861,3.50420046164773,0.2787626953125,0.201711533628906,0.00871386645675903,0.308696232298734,5.66502876019022,2.98549256314062,6.86469153102335,1.60943388258338,3.16859817451479,1.12103830428754,1.63170429506568,9.74424750283992,2.97340759138836,36.9711417116088,5.06057916694188,2.23090137952716,6.61973172713171,2
23,9.727263130449,1.47600800222165,0.314195494016861,1.18285412825041,478.462718137327,3.52071029626627,0.669900147111952,0.153494693151262,2.2149986441956,2.4902226510418,7.37277702375818,1.15352494073626,4.30917918052598,0.57817033918736,1.78335523807834,11.4645794305237,2.85028379677031,17.4368038483898,5.26996584933174,1.36209686740764,3.55610518142612,3
23,9.96499614075719,1.58417606956348,0.358266494347341,2.61907137059669,408.515195033098,1.5434864015668,0.181313918253224,0.0930758032886354,8.99065292772601,1.689968724561,2.6443096846253,1.07859556327409,1.7981305855452,0.966533682245119,2.73206177197524,1.92417614942968,7.24600590497932,8.99065292772601,3.36027165621577,2.40220898472451,0.662042298331932,1
23,4.27600227881889,4.08491553814871,1.33547369423659,6.58125281146181,10421.0734173216,1.62265361246444,0.407909480367322,0.272932875215565,9.30452983689428,1.77406368890118,1.86090596737886,2.15889856210087,1.55075497281571,1.79410421470372,1.55075497281571,0.775377486407857,7.60602326091912,4.65226491844714,9.73874122928268,3.02397219699064,1.81319042975376,2
23,4.27600227881889,6.39295122628846,0.984942724815735,2.45000220225511,9.90154061984072,1.62844980551309,0.0700656604137268,0.115323826042851,8.91138655785665,1.0753073113147,1.48523109297611,0.870800419850578,1.48523109297611,0.422854028823786,0.594092437190443,0.742615546488054,4.08460075656734,2.22784663946416,0.891138655785665,1.48523109297611,0.37010353181729,3
23,0.547644574495181,0.100845069383252,0.0534287389751396,0.0933825342488918,101.355705595294,0.0726733880688022,0.215133690123014,0.1682962671067,9.59288722508189,2.35825144283263,4.1708205326443,0.513974014985485,6.85206230362992,1.5632853255689,0.959288722508189,0.685206230362992,0.328674332793789,9.59288722508189,3.51739198253003,1.59881453751365,0.303774762127593,1
23,0.531292576488637,0.113919609003192,0.0388750665723393,2.45000220225511,73.4417568208495,0.361411625053987,0.542153593501003,0.166132763129655,9.9679657877793,0.735730808145616,6.6453105251862,1.05946772053972,7.1199755626995,0.647043393241815,1.24599572347241,0.71199755626995,0.646914289716952,9.9679657877793,0.996796578777931,1.66132763129655,0.640366286972489,2
23,6.67068888081891,8.21204883446831,0.0508361048538244,0.33466029732943,1609.21955608709,5.56053555875855,0.214477131133489,0.171846481962008,9.79524947183446,3.75484563086988,4.2588041181889,1.28103071246085,6.99660676559605,1.46021774533829,11.6236960399102,1.72582966884702,36.1198486125061,9.79524947183446,37.4831546455532,1.63254157863908,2.79817626578738,3
23,9.1363365467804,7.56416055658104,0.261115098714702,2.13979028595711,2.13464778764656,0.670428054079331,0.0113749596811354,0.0688359391309745,9.63703147833643,0.279226809500517,1.20141659096594,0.163003309410342,3.85481259133457,0.106147013384575,0.239609252603447,0.401542978264018,1.14290779425523,2.40925786958411,2.00236098494324,0.741310113718187,0.0774085630320079,1
23,11.031681627559,0.270496436607074,0.286890160037805,2.13979028595711,1.3476319021031,0.194607158558978,0.00737965924480791,0.0591710955077974,4.73368764062379,0.144401380552362,0.651185492101195,0.0942836990940407,3.50643528935095,0.0636507151677097,0.114946057498591,0.364129818509522,0.692085864537916,2.36684382031189,2.88228980784648,0.801085600720949,0.0680534685749542,2
23,8.83800613649594,0.480815711996125,0.182241302463033,2.13979028595711,3.03921333210055,0.239668731252058,0.00860787324176433,0.0640380623479107,4.8028546760933,0.233417282769273,1.22341916588142,0.133678667478897,3.69450359699485,0.0946738139068985,0.159116204143467,0.369450359699485,0.795553826099862,4.8028546760933,1.9545306996105,0.926134373437116,0.0977374993801472,3
23,4.27600227881889,15.4319467688331,1.46102163351239,9.72883600643826,13003.0925382602,0.87263984704711,0.152560449408087,0.159351624243385,9.56109745460312,1.9088328909367,1.46426436943644,0.636113208428958,3.2969301567597,0.484154045410092,1.8647805770728,1.59351624243385,2.27331027145614,2.39027436365078,0.972044907884651,4.78054872730156,0.187825930870482,1
